School of Life Science and Technology, Tokyo Institute of Technology, Tokyo, Japan.	38782570
Research Center for Integrative Evolutionary Science, The Graduate University for Advanced Studies, SOKENDAI, Kanagawa, Japan.	38782570
Tanzania Fisheries Research Institute (TAFIRI), Dar es Salaam, Tanzania.	38782570
Tanzania Fisheries Research Institute (TAFIRI), Mwanza, Tanzania.	38782570
Department of Dermatology, Medical University of Vienna, Austria.	38781495
Clinic for Poultry and Fish Medicine, Department for Farm Animals and Veterinary Public Health, University of Veterinary Medicine Vienna, Austria.	38781495
Simon F. S. Li Marine Science Laboratory, School of Life Sciences and State Key Laboratory of Agrobiotechnology, The Chinese University of Hong Kong, Shatin, Hong Kong SAR.	38776415
School of Earth and Environmental Sciences and Centre for Exoplanet Science, University of St Andrews, Bute Building, Queen's Terrace, KY16 9TS, UK.	38776415
Earth and Environmental Sciences Programme, The Chinese University of Hong Kong, Shatin, Hong Kong SAR.	38776415
Institute of Environment, Energy and Sustainability, The Chinese University of Hong Kong, Shatin, Hong Kong SAR.	38776415
Department of Ecology and Evolution, Laufer Center for Physical and Quantitative Biology, Stony Brook University, 650 Life Sciences, Stony Brook, NY 11794-4254.	38768245
State Key Laboratory of Systematic and Evolutionary Botany, Institute of Botany, Chinese Academy of Sciences, Beijing 100093, China.	38768215
China National Botanical Garden, Beijing 100093, China.	38768215
University of Chinese Academy of Sciences, Beijing 100049, China.	38768215
State Key Laboratory of Agricultural Genomics, Key Laboratory of Genomics, Ministry of Agriculture, BGI Research, Shenzhen 518083, China.	38768215
Department of Mathematics, University of Bergen, Bergen, Norway.	38758976
School of Life Sciences, University of Warwick, Coventry, UK.	38758976
Computational Biology Unit, University of Bergen, Bergen, Norway.	38758976
State Key Laboratory of Cotton Bio-breeding and Integrated, Institute of Cotton Research, Chinese Academy of Agricultural Sciences, Anyang, China 455000.	38758089
Shenzhen Branch, Guangdong Laboratory of Lingnan Modern Agriculture, Key Laboratory of Synthetic Biology, Ministry of Agriculture and Rural Affairs, Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen, China 518120.	38758089
Department of Ecology, Evolution and Organismal Biology, Iowa State University, Ames, Iowa, USA 50011.	38758089
Department of Biological Science, Florida State University, Tallahassee, Florida, USA 32306.	38758089
Department of Statistics, Florida State University, Tallahassee, Florida, USA 32306.	38758089
Dept of Mathematics, Florida Gulf Coast University, Florida, USA 33965.	38758089
Department of Ecology & Evolutionary Biology, University of Arizona, Tucson, AZ, USA 85721.	38758089
Department of Molecular & Cellular Biology, University of Arizona, Tucson, AZ, USA 85721.	38758089
Department of Molecular Genetics, Ohio State University, Columbus, Ohio, USA 43210.	38758089
Zhengzhou Research Base, State Key Laboratory of Cotton Biology, School of Agricultural Sciences, Zhengzhou University, Zhengzhou, China 450000.	38758089
Forage Seed and Cereal Research Unit, USDA/Agricultural Research Service, Corvallis, Oregon, USA 97331.	38758089
Crop Germplasm Research Unit, USDA/Agricultural Research Service, College Station, Texas, USA 77845.	38758089
Area of Ecology and Biodiversity, School of Biological Sciences, the University of Hong Kong, Hong Kong, SAR, People's Republic of  China.	38743590
School of Biological Sciences and Swire Institute of Marine Science, Faculty of Science, the University of Hong Kong, Hong Kong, SAR, People's Republic of  China.	38743590
School of Natural Sciences, Faculty of Science and Engineering, Macquarie University, Sydney, Australia.	38743590
Division of Ecology and Evolution, Research School of Biology, Australian National University, Canberra, Australia.	38743590
Division of Evolutionary Biology, Faculty of Biology, Ludwig Maximilian University of Munich, 82152 Planegg-Martinsried, Germany.	38743589
Evolutionary Biology & Ecology, Faculty of Biology, University of Freiburg, 79104 Freiburg, Germany.	38743589
Department of Bioinformatics and Genetics, Swedish Museum of Natural History, 11418 Stockholm, Sweden.	38743589
Division of Systematics and Evolution, Department of Zoology, Stockholm University, 11418 Stockholm, Sweden.	38743589
Department of Biology, Boston University, Boston, MA 02215.	38743589
Department of Biological Sciences, The Pennsylvania State University, State College, Pennsylvania, USA.	38736374
